class_name,description
org.argouml.uml.cognitive.critics.CrJoinIncomingTransition,cr join incoming transition get criticized design materials predicate2 
org.argouml.ui.explorer.NameOrder,name order compare user objects to string get name compare collator 
org.argouml.ui.JasonsTheme,jasons theme get name get control text font get menu text font get sub text font get system text font get user text font get window title font get primary1 get primary2 get primary3 get secondary1 get secondary2 get secondary3 primary1 primary2 primary3 secondary1 secondary2 secondary3 control font system font window title font user font small font 
org.argouml.kernel.Command,command is undoable is redoable execute undo 
org.argouml.notation.providers.AssociationNameNotation,association name notation initialise listener 
org.argouml.uml.diagram.ui.StereotypeStyled,stereotype styled get stereotype style set stereotype style 
org.argouml.notation.providers.uml.NodeInstanceNotationUml,node instance notation uml get parsing help to string to string parse 
org.argouml.uml.ui.behavior.common_behavior.PropPanelInstance,prop panel instance get stimuli sender scroll get stimuli receiver scroll stimuli sender scroll stimuli receiver scroll stimuli sender list model stimuli receiver list model 
org.argouml.uml.ui.foundation.core.PropPanelFeature,prop panel feature get visibility panel get visibility panel get owner scope checkbox get owner scroll owner scope checkbox owner scroll owner list model visibility panel 
org.argouml.uml.diagram.state.ui.FigForkState,fig fork state is filled get fill color set fill color set line width init figs create big port fig set standard bounds set filled set line color clone mouse clicked get line width get line color x y state width height head serial version u i d 
org.argouml.uml.ui.foundation.extension_mechanisms.PropPanelTaggedValue$UMLReferenceValueListModel,u m l reference value list model build model list is valid element 
org.argouml.profile.ZipModelLoader,zip model loader load model open zip stream at log 
org.argouml.uml.diagram.DiagramFactory,diagram factory create diagram create diagram remove diagram register diagram factory create default diagram create internal get instance create diagram classes diagram factory factories 
org.argouml.uml.diagram.ui.FigProfileIcon,fig profile icon get label fig set bounds impl get label set label image label gap 
org.argouml.uml.ui.behavior.common_behavior.PropPanelException,prop panel exception 
org.argouml.uml.diagram.ui.ModeCreateGraphEdge,mode create graph edge get meta type build connection is connection valid mouse pressed mouse released log source fig 
org.argouml.uml.ui.ActionPaste,action paste is system clip board empty get instance focus gained focus lost action performed caret update instance localize key text source 
org.argouml.uml.ui.foundation.core.PropPanelModelElement,prop panel model element get supplier dependency scroll get client dependency scroll get element residence scroll get name text field get namespace selector get source flow scroll get target flow scroll get constraint scroll get visibility panel get name document get actions set target navigate up namespace selector supplier dependency scroll client dependency scroll target flow scroll source flow scroll constraint scroll visibility panel element residence scroll name text field namespace combo box model client dependency list model constraint list model element residence list model name document source flow list model target flow list model 
org.argouml.uml.cognitive.critics.CrNoInitialState,cr no initial state get criticized design materials predicate2 
org.argouml.profile.internal.ProfileUML,profile u m l access 0 get critics get default type strategy get profile packages get formating strategy get loaded packages load well formedness rules get display name get model log profile uml14 file profile uml22 file name uml14 name uml22 formating strategy profile model loader model critics profile reference 
org.argouml.uml.ui.behavior.activity_graphs.ActionSetClassifierInStateType,action set classifier in state type action performed serial version u i d 
org.argouml.cognitive.ui.ToDoByPriority,to do by priority to do items changed to do items added to do items removed to do list changed log 
org.argouml.uml.ui.foundation.core.ActionAddAttribute,action add attribute access 0 should be enabled get target follower action performed target follower serial version u i d 
org.argouml.ui.ContextActionFactoryManager,context action factory manager get context popup actions get factories add context popup factory remove context popup factory epfactories 
org.argouml.uml.ui.behavior.common_behavior.PropPanelLinkEnd,prop panel link end serial version u i d 
org.argouml.uml.cognitive.critics.CrInvalidFork,cr invalid fork get criticized design materials predicate2 
org.argouml.uml.cognitive.UMLDecision,u m l decision inheritance containment patterns relationships storage behavior instanciation naming modularity class selection expected usage methods code gen planned extensions stereotypes state machines 
org.argouml.notation.providers.java.ModelElementNameNotationJava,model element name notation java parse model element get parsing help is valid java class name to string parse 
org.argouml.uml.ui.behavior.common_behavior.UMLCreateActionClassifierListModel,u m l create action classifier list model build model list is valid element serial version u i d 
org.argouml.notation.providers.uml.AttributeNotationUml,attribute notation uml deal with name deal with type parse attribute fig parse attribute deal with visibility deal with value deal with multiplicity deal with properties generate multiplicity get parsing help to string to string parse log 
org.argouml.uml.ui.behavior.common_behavior.ActionNewTerminateAction,action new terminate action create action get button instance get instance singleton 
org.argouml.cognitive.Highlightable,highlightable set highlight get highlight 
org.argouml.util.ExprSeparatorWithStrings,expr separator with strings token length has free part end char reset is s quot is d quot is esc tok level tok len 
org.argouml.application.SubsystemUtility,subsystem utility init subsystem 
org.argouml.configuration.ConfigurationProperties,configuration properties get default path save file save u r l load file load u r l copy file get old default path get value remove set value log property location property bundle can complain 
org.argouml.uml.cognitive.critics.CrNoAssociations,cr no associations get criticized design materials predicate2 find association 
org.argouml.ui.explorer.PerspectiveConfigurator$RulesListSelectionListener,rules list selection listener value changed this 0 
org.argouml.uml.ui.foundation.core.ActionSetElementOwnershipSpecification,action set element ownership specification get instance action performed singleton 
