Id	Modularity Class
org.argouml.model.IllegalModelElementConnectionException	65
org.argouml.model.OrderingKind	65
org.argouml.model.VisibilityKind	65
org.argouml.uml.ui.behavior.state_machines.UMLChangeExpressionModel	65
org.argouml.uml.ui.model_management.ActionRemovePackageImport	65
org.argouml.model.Factory	65
org.argouml.cognitive.ResolvedCritic	66
org.argouml.util.IItemUID	66
org.argouml.cognitive.ui.ToDoByDecision	67
org.argouml.cognitive.ui.ToDoByGoal	67
org.argouml.cognitive.ui.ToDoByOffender	67
org.argouml.cognitive.ui.ToDoByPoster	67
org.argouml.cognitive.ui.ToDoByPriority	67
org.argouml.cognitive.ui.ToDoByType	67
org.argouml.cognitive.critics.Wizard	68
org.argouml.cognitive.critics.WizardItem	68
org.argouml.uml.cognitive.critics.UMLWizard	68
org.argouml.cognitive.Decision	68
org.argouml.cognitive.Goal	68
org.argouml.cognitive.AbstractCognitiveTranslator	68
org.argouml.cognitive.Translator	68
org.argouml.kernel.DelayedChangeNotify	68
org.argouml.kernel.DelayedVChangeListener	68
org.argouml.swingext.SpacerPanel	68
org.argouml.uml.PredicateNotInTrash	68
org.argouml.cognitive.critics.ui.CriticBrowserDialog	69
org.argouml.cognitive.ui.AddToDoItemDialog	69
org.argouml.cognitive.ui.DismissToDoItemDialog	69
org.argouml.cognitive.ui.DesignIssuesDialog	70
org.argouml.cognitive.ui.GoalsDialog	70
org.argouml.ui.cmd.CmdSetPreferredSize	71
org.argouml.ui.ActionSettings	71
org.argouml.ui.TabResults	72
org.argouml.ui.FindDialog	72
org.argouml.uml.ChildGenRelated	72
org.argouml.ui.SystemInfoDialog	73
org.argouml.util.ArgoDialog	73
org.argouml.uml.cognitive.critics.CrInterfaceAllPublic	74
org.argouml.uml.cognitive.critics.CrFinalSubclassed	74
org.argouml.uml.cognitive.critics.CrNoInitialState	75
org.argouml.uml.cognitive.critics.ClClassName	75
org.argouml.uml.cognitive.critics.CrMergeClasses	76
org.argouml.util.Tools	76
org.argouml.util.osdep.StartBrowser	76
org.argouml.model.mdr.CollectionHelper	77
org.argouml.notation.providers.uml.MultiplicityNotationUml	77
org.argouml.core.propertypanels.ui.ActionNewAction	78
org.argouml.core.propertypanels.ui.UMLIncludeListModel	78
org.argouml.uml.ui.TabProps	79
org.argouml.uml.ui.TabSrc	79
